Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP1001,Male,No,0,Graduate,No,5341,0,139,360,1,Semiurban,Y
LP1002,Male,Yes,2,Graduate,No,5952,285,114,360,1,Rural,Y
LP1003,Female,Yes,3+,Graduate,No,3476,1845,152,360,1,Semiurban,Y
LP1004,Male,Yes,1,Graduate,No,1799,2120,97,360,1,Semiurban,Y
LP1005,Male,No,3+,Not Graduate,No,3290,0,132,360,1,Rural,Y
LP1006,Female,Yes,2,Graduate,No,2575,5751,160,240,1,Semiurban,Y
LP1007,Male,Yes,2,Graduate,No,2157,5745,95,360,1,Rural,Y
LP1008,Male,Yes,0,Graduate,No,10522,736,108,360,1,Semiurban,Y
LP1009,Male,Yes,1,Graduate,No,5097,1234,124,360,1,Urban,N
LP1010,Male,Yes,0,Graduate,No,5377,2403,76,360,1,Rural,Y
LP1011,Male,Yes,1,Graduate,No,3810,12401,121,360,1,Urban,Y
LP1012,Female,Yes,1,Not Graduate,No,4079,5346,145,360,1,Urban,Y
LP1013,Male,Yes,3+,Not Graduate,No,7203,4006,122,120,0,Semiurban,N
LP1014,Female,Yes,3+,Not Graduate,No,4376,1200,128,360,1,Rural,Y
LP1015,Male,Yes,0,Not Graduate,No,5798,807,139,360,0,Rural,N
LP1016,Male,Yes,1,Not Graduate,No,4032,3075,110,360,1,Urban,N
LP1017,Male,Yes,1,Graduate,No,3748,678,171,360,0,Urban,N
LP1018,Male,No,0,Graduate,No,2201,0,205,360,1,Rural,Y
LP1019,Female,Yes,0,Graduate,No,1654,1492,119,360,1,Urban,Y
LP1020,Male,No,0,Graduate,No,3902,0,162,180,1,Urban,N
LP1021,Male,No,2,Graduate,No,4574,0,129,360,0,Urban,Y
LP1022,Male,Yes,0,Not Graduate,No,2338,232,156,360,1,Semiurban,Y
LP1023,Female,Yes,3+,Graduate,Yes,4371,2449,210,360,1,Rural,Y
LP1024,Female,Yes,0,Graduate,No,4568,935,163,120,1,Rural,Y
LP1025,Male,No,3+,Graduate,No,1513,0,60,360,0,Semiurban,N
LP1026,Male,No,0,Graduate,Yes,2814,0,160,360,1,Urban,Y
LP1027,Male,No,2,Graduate,No,5451,0,195,180,1,Semiurban,Y
LP1028,Male,Yes,0,Not Graduate,No,5397,3079,130,360,1,Semiurban,Y
LP1029,Male,Yes,1,Graduate,Yes,2498,480,185,240,0,Urban,N
